Property_price_EGP,Location_governorate,Location_City,Bed_Rooms,Bath_Rooms,Home_Space_SQM,Furnished,Property_Type,Payment_Option,Delivery_Date
"2,900,000Negotiable",,178 SQM,33icon/categories/area178 SQM,,icon/categories/area178,No,Apartment,Cash,Ready To Move
"5,600,000",Cairo,New Cairo - El Tagamoa,4,4,266,No,Apartment,Cash,Ready To Move
"480,000Negotiable",,90 SQM,31icon/categories/area90 SQM,,icon/categories/area90,No,Apartment,Cash,Ready To Move
"3,111,111",Giza,6th of October,3,2,230,No,Apartment,Cash,Ready To Move
"2,650,000",Cairo,Madinaty,3,3,168,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,Madinaty,3,2,150,No,Apartment,Cash,Ready To Move
"3,850,000",Cairo,New Cairo - El Tagamoa,3,3,172,No,Apartment,Cash,Ready To Move
"625,000",Giza,Hadayek al-Ahram,2,2,115,No,Apartment,Cash,Ready To Move
"1,000,000",Cairo,New Cairo - El Tagamoa,2,1,100,No,Apartment,Cash,Ready To Move
"1,000,000",Cairo,Mokattam,2,2,150,No,Apartment,Cash,Ready To Move
"700,000",Cairo,Nasr City,2,1,90,No,Apartment,Cash,Ready To Move
"250,000",Giza,6th of October,2,1,68,No,Apartment,Cash,Ready To Move
"750,000",Giza,Faisal,3,1,160,No,Apartment,Cash,Ready To Move
"160,000",Cairo,Salam City,2,1,73,No,Apartment,Cash,Ready To Move
"630,000Negotiable",,125 SQM,21icon/categories/area125 SQM,,icon/categories/area125,No,Apartment,Cash,Ready To Move
"470,000Negotiable",,120 SQM,31icon/categories/area120 SQM,,icon/categories/area120,No,Apartment,Cash,Ready To Move
"275,000Negotiable",,110 SQM,31icon/categories/area110 SQM,,icon/categories/area110,No,Apartment,Cash,Ready To Move
"620,000Negotiable",,120 SQM,21icon/categories/area120 SQM,,icon/categories/area120,No,Apartment,Cash,Ready To Move
"1,750,000Negotiable",,130 SQM,32icon/categories/area130 SQM,,icon/categories/area130,No,Apartment,Cash,Ready To Move
"1,450,000Negotiable",,89 SQM,22icon/categories/area89 SQM,,icon/categories/area89,No,Apartment,Cash,Ready To Move
"200,000",Alexandria,Agami,1,1,65,No,Apartment,Cash,Ready To Move
"775,000",Cairo,Almazah,3,1,110,No,Apartment,Cash,Ready To Move
"4,000,000",Alexandria,Gianaclis,3,3,260,No,Apartment,Cash,Ready To Move
"890,000",Giza,Hadayek al-Ahram,3,2,175,No,Apartment,Cash,Ready To Move
"375,000Negotiable",,115 SQM,11icon/categories/area115 SQM,,icon/categories/area115,No,Apartment,Cash,Ready To Move
"950,000",Qalyubia,Khanka,3,1,115,No,Apartment,Cash,Ready To Move
"5,000,000",Cairo,Madinaty,4,3,320,No,Apartment,Cash,Ready To Move
"2,600,000",Cairo,Madinaty,3,3,165,No,Apartment,Cash,Ready To Move
"4,200,000",Cairo,New Cairo - El Tagamoa,3,3,230,No,Apartment,Cash,Ready To Move
"1,000,000",Cairo,Zahraa Al Maadi,3,3,160,No,Apartment,Cash,Ready To Move
"4,600,000",Cairo,New Cairo - El Tagamoa,3,3,240,No,Apartment,Cash,Ready To Move
"580,000",Gharbia,Tanta,3,2,132,No,Apartment,Cash,Ready To Move
"7,500,000",Alexandria,Stanley,3,2,182,No,Apartment,Cash,Ready To Move
"480,000Negotiable",,125 SQM,21icon/categories/area125 SQM,,icon/categories/area125,No,Apartment,Cash,Ready To Move
"525,000Negotiable",,100 SQM,31icon/categories/area100 SQM,,icon/categories/area100,No,Apartment,Cash,Ready To Move
"320,000",Cairo,Nasr City,2,1,120,No,Apartment,Cash,Ready To Move
"270,000",Cairo,Mokattam,2,1,75,No,Apartment,Cash,Ready To Move
"375,000",Alexandria,Nakheel,2,1,110,No,Apartment,Cash,Ready To Move
"2,700,000",Alexandria,Al Ibrahimiyyah,6,2,220,No,Apartment,Cash,Ready To Move
"255,000Negotiable",,90 SQM,21icon/categories/area90 SQM,,icon/categories/area90,No,Apartment,Cash,Ready To Move
"650,000Negotiable",,145 SQM,31icon/categories/area145 SQM,,icon/categories/area145,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,New Cairo - El Tagamoa,4,3,200,No,Apartment,Cash,Ready To Move
"380,000",Cairo,Helmeyat El Zaytoun,2,1,70,No,Apartment,Cash,Ready To Move
"5,000,000Negotiable",,226 SQM,44icon/categories/area226 SQM,,icon/categories/area226,No,Apartment,Cash,Ready To Move
"1,400,000Negotiable",,96 SQM,22icon/categories/area96 SQM,,icon/categories/area96,No,Apartment,Cash,Ready To Move
"1,400,000",Cairo,Madinaty,2,1,82,No,Apartment,Cash,Ready To Move
"1,800,000",Cairo,Madinaty,2,2,96,No,Apartment,Cash,Ready To Move
"245,000",Alexandria,Nakheel,2,1,100,No,Apartment,Cash,Ready To Move
"1,500,000",Cairo,Madinaty,3,2,103,No,Apartment,Cash,Ready To Move
"1,750,000",Cairo,Madinaty,2,2,96,No,Apartment,Cash,Ready To Move
"1,600,000",Cairo,Madinaty,2,2,96,No,Apartment,Cash,Ready To Move
"4,000,000Negotiable",,210 SQM,33icon/categories/area210 SQM,,icon/categories/area210,No,Apartment,Cash,Ready To Move
"3,500,000Negotiable",,211 SQM,33icon/categories/area211 SQM,,icon/categories/area211,No,Apartment,Cash,Ready To Move
"2,700,000Negotiable",,150 SQM,33icon/categories/area150 SQM,,icon/categories/area150,No,Apartment,Cash,Ready To Move
"1,400,000",Cairo,Obour City,3,2,185,No,Apartment,Cash,Ready To Move
"3,300,000",Cairo,New Cairo - El Tagamoa,3,2,145,No,Apartment,Cash,Ready To Move
"1,400,000Negotiable",,200 SQM,32icon/categories/area200 SQM,,icon/categories/area200,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,New Cairo - El Tagamoa,3,2,150,No,Apartment,Cash,Ready To Move
"700,000Negotiable",,90 SQM,21icon/categories/area90 SQM,,icon/categories/area90,No,Apartment,Cash,Ready To Move
"2,350,000Negotiable",,165 SQM,32icon/categories/area165 SQM,,icon/categories/area165,No,Apartment,Cash,Ready To Move
"1,200,000Negotiable",,110 SQM,31icon/categories/area110 SQM,,icon/categories/area110,No,Apartment,Cash,Ready To Move
"1,250,000Negotiable",,130 SQM,32icon/categories/area130 SQM,,icon/categories/area130,No,Apartment,Cash,Ready To Move
"1,230,000Negotiable",,160 SQM,21icon/categories/area160 SQM,,icon/categories/area160,No,Apartment,Cash,Ready To Move
"1,800,000Negotiable",,190 SQM,32icon/categories/area190 SQM,,icon/categories/area190,No,Apartment,Cash,Ready To Move
"650,000Negotiable",,90 SQM,21icon/categories/area90 SQM,,icon/categories/area90,No,Apartment,Cash,Ready To Move
"220,000Negotiable",,75 SQM,21icon/categories/area75 SQM,,icon/categories/area75,No,Apartment,Cash,Ready To Move
"2,600,000",Cairo,Madinaty,3,2,140,No,Apartment,Cash,Ready To Move
"1,650,000",Giza,Sheikh Zayed,3,2,143,No,Apartment,Cash,Ready To Move
"2,400,000Negotiable",,138 SQM,32icon/categories/area138 SQM,,icon/categories/area138,No,Apartment,Cash,Ready To Move
"500,000Negotiable",,110 SQM,21icon/categories/area110 SQM,,icon/categories/area110,No,Apartment,Cash,Ready To Move
"1,600,000",Cairo,New Cairo - El Tagamoa,3,2,161,No,Apartment,Cash,Ready To Move
"420,000Negotiable",,110 SQM,31icon/categories/area110 SQM,,icon/categories/area110,No,Apartment,Cash,Ready To Move
"1,800,000Negotiable",,170 SQM,31icon/categories/area170 SQM,,icon/categories/area170,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Al Manial,3,2,175,No,Apartment,Cash,Ready To Move
"600,000Negotiable",,155 SQM,52icon/categories/area155 SQM,,icon/categories/area155,No,Apartment,Cash,Ready To Move
"210,000Negotiable",,70 SQM,31icon/categories/area70 SQM,,icon/categories/area70,No,Apartment,Cash,Ready To Move
"3,600,000",Cairo,Nasr City,3,3,250,No,Apartment,Cash,Ready To Move
"600,000Negotiable",,156 SQM,32icon/categories/area156 SQM,,icon/categories/area156,No,Apartment,Cash,Ready To Move
"2,600,000",Cairo,Madinaty,3,3,165,No,Apartment,Cash,Ready To Move
"350,000",Cairo,Obour City,3,1,90,No,Apartment,Cash,Ready To Move
"380,000",Cairo,Obour City,3,1,100,No,Apartment,Cash,Ready To Move
"550,000Negotiable",,160 SQM,31icon/categories/area160 SQM,,icon/categories/area160,No,Apartment,Cash,Ready To Move
"350,000",Cairo,Obour City,3,1,90,No,Apartment,Cash,Ready To Move
"550,000Negotiable",,75 SQM,21icon/categories/area75 SQM,,icon/categories/area75,No,Apartment,Cash,Ready To Move
"770,000Negotiable",,150 SQM,31icon/categories/area150 SQM,,icon/categories/area150,No,Apartment,Cash,Ready To Move
"215,000",Alexandria,Asafra,2,1,60,No,Apartment,Cash,Ready To Move
"265,000",Alexandria,Agami,2,1,100,No,Apartment,Cash,Ready To Move
"600,000",Cairo,Helmeyat El Zaytoun,2,1,100,No,Apartment,Cash,Ready To Move
"750,000Negotiable",,130 SQM,31icon/categories/area130 SQM,,icon/categories/area130,No,Apartment,Cash,Ready To Move
"800,000Negotiable",,80 SQM,31icon/categories/area80 SQM,,icon/categories/area80,No,Apartment,Cash,Ready To Move
"1,400,000",Cairo,Madinaty,2,1,65,No,Apartment,Cash,Ready To Move
"215,000",Alexandria,Nakheel,2,1,90,No,Apartment,Cash,Ready To Move
"550,000Negotiable",,85 SQM,41icon/categories/area85 SQM,,icon/categories/area85,No,Apartment,Cash,Ready To Move
"600,000",Cairo,Matareya,3,2,170,No,Apartment,Cash,Ready To Move
"2,100,000Negotiable",,140 SQM,31icon/categories/area140 SQM,,icon/categories/area140,No,Apartment,Cash,Ready To Move
"410,000",Cairo,Ain Shams,3,1,110,No,Apartment,Cash,Ready To Move
"510,000",Red Sea,Hurghada,2,1,85,No,Apartment,Cash,Ready To Move
"300,000",Damietta,Damietta City,3,1,60,No,Apartment,Cash,Ready To Move
"650,000",Gharbia,Tanta,3,1,125,No,Apartment,Cash,Ready To Move
"180,000Negotiable",,90 SQM,21icon/categories/area90 SQM,,icon/categories/area90,No,Apartment,Cash,Ready To Move
"900,000",Cairo,Ain Shams,3,2,165,No,Apartment,Cash,Ready To Move
"1,000,000Negotiable",,110 SQM,31icon/categories/area110 SQM,,icon/categories/area110,No,Apartment,Cash,Ready To Move
"1,300,000",Giza,Maryotaya,3,2,210,No,Apartment,Cash,Ready To Move
"440,000Negotiable",,110 SQM,31icon/categories/area110 SQM,,icon/categories/area110,No,Apartment,Cash,Ready To Move
"2,650,000Negotiable",,177 SQM,33icon/categories/area177 SQM,,icon/categories/area177,No,Apartment,Cash,Ready To Move
"1,100,000",Alexandria,Azarita,3,1,110,No,Apartment,Cash,Ready To Move
"420,000Negotiable",,110 SQM,21icon/categories/area110 SQM,,icon/categories/area110,No,Apartment,Cash,Ready To Move
"1,500,000Negotiable",,143 SQM,32icon/categories/area143 SQM,,icon/categories/area143,No,Apartment,Cash,Ready To Move
"200,000",Cairo,Salam City,2,1,65,No,Apartment,Cash,Ready To Move
"2,000,000Negotiable",,160 SQM,32icon/categories/area160 SQM,,icon/categories/area160,No,Apartment,Cash,Ready To Move
"1,000,000Negotiable",,195 SQM,33icon/categories/area195 SQM,,icon/categories/area195,No,Apartment,Cash,Ready To Move
"1,250,000Negotiable",,120 SQM,21icon/categories/area120 SQM,,icon/categories/area120,No,Apartment,Cash,Ready To Move
"700,000",Cairo,New Cairo - El Tagamoa,3,1,115,No,Apartment,Cash,Ready To Move
"700,000Negotiable",,150 SQM,42icon/categories/area150 SQM,,icon/categories/area150,No,Apartment,Cash,Ready To Move
"750,000",Cairo,Masr al-Kadema,3,2,120,No,Apartment,Cash,Ready To Move
"1,750,000",Cairo,Madinaty,3,2,96,No,Apartment,Cash,Ready To Move
"500,000Negotiable",,120 SQM,31icon/categories/area120 SQM,,icon/categories/area120,No,Apartment,Cash,Ready To Move
"350,000",Giza,6th of October,2,1,75,No,Apartment,Cash,Ready To Move
"1,450,000Negotiable",,90 SQM,21icon/categories/area90 SQM,,icon/categories/area90,No,Apartment,Cash,Ready To Move
"470,000Negotiable",,100 SQM,31icon/categories/area100 SQM,,icon/categories/area100,No,Apartment,Cash,Ready To Move
"450,000Negotiable",,120 SQM,31icon/categories/area120 SQM,,icon/categories/area120,No,Apartment,Cash,Ready To Move
"450,000",Cairo,Shubra,2,1,75,No,Apartment,Cash,Ready To Move
"600,000Negotiable",,80 SQM,21icon/categories/area80 SQM,,icon/categories/area80,No,Apartment,Cash,Ready To Move
"425,000Negotiable",,95 SQM,21icon/categories/area95 SQM,,icon/categories/area95,No,Apartment,Cash,Ready To Move
"460,000",Alexandria,Sidi Beshr,2,1,57,No,Apartment,Cash,Ready To Move
"260,000Negotiable",,63 SQM,21icon/categories/area63 SQM,,icon/categories/area63,No,Apartment,Cash,Ready To Move
"170,000Negotiable",,63 SQM,21icon/categories/area63 SQM,,icon/categories/area63,No,Apartment,Cash,Ready To Move
"685,000",Giza,Hadayek al-Ahram,3,2,122,No,Apartment,Cash,Ready To Move
"1,550,000Negotiable",,180 SQM,32icon/categories/area180 SQM,,icon/categories/area180,No,Apartment,Cash,Ready To Move
"2,550,000Negotiable",,200 SQM,33icon/categories/area200 SQM,,icon/categories/area200,No,Apartment,Cash,Ready To Move
"175,000Negotiable",,81 SQM,21icon/categories/area81 SQM,,icon/categories/area81,No,Apartment,Cash,Ready To Move
"1,920,000",Cairo,Madinaty,3,3,171,No,Apartment,Cash,Ready To Move
"450,000",Giza,6th of October,2,1,85,No,Apartment,Cash,Ready To Move
"650,000Negotiable",,100 SQM,22icon/categories/area100 SQM,,icon/categories/area100,No,Apartment,Cash,Ready To Move
"2,350,000",Alexandria,Laurent,3,3,170,No,Apartment,Cash,Ready To Move
"470,000Negotiable",,140 SQM,32icon/categories/area140 SQM,,icon/categories/area140,No,Apartment,Cash,Ready To Move
"450,000Negotiable",,150 SQM,32icon/categories/area150 SQM,,icon/categories/area150,No,Apartment,Cash,Ready To Move
"890,000Negotiable",,110 SQM,31icon/categories/area110 SQM,,icon/categories/area110,No,Apartment,Cash,Ready To Move
"1,400,000",Cairo,Madinaty,2,2,89,No,Apartment,Cash,Ready To Move
"480,000",Alexandria,Abu Qir,2,1,90,No,Apartment,Cash,Ready To Move
"2,750,000",Giza,Sheikh Zayed,3,2,165,No,Apartment,Cash,Ready To Move
"425,000Negotiable",,149 SQM,31icon/categories/area149 SQM,,icon/categories/area149,No,Apartment,Cash,Ready To Move
"2,100,000",Cairo,New Cairo - El Tagamoa,3,2,195,No,Apartment,Cash,Ready To Move
"2,100,000Negotiable",,195 SQM,32icon/categories/area195 SQM,,icon/categories/area195,No,Apartment,Cash,Ready To Move
"620,000",Cairo,Obour City,3,2,100,No,Apartment,Cash,Ready To Move
"270,000Negotiable",,85 SQM,22icon/categories/area85 SQM,,icon/categories/area85,No,Apartment,Cash,Ready To Move
"730,000Negotiable",,100 SQM,31icon/categories/area100 SQM,,icon/categories/area100,No,Apartment,Cash,Ready To Move
"30,000Negotiable",,144 SQM,41icon/categories/area144 SQM,,icon/categories/area144,No,Apartment,Cash,Ready To Move
"1,300,000",Cairo,Madinaty,2,1,82,No,Apartment,Cash,Ready To Move
"1,750,000Negotiable",,165 SQM,22icon/categories/area165 SQM,,icon/categories/area165,No,Apartment,Cash,Ready To Move
"710,000Negotiable",,135 SQM,32icon/categories/area135 SQM,,icon/categories/area135,No,Apartment,Cash,Ready To Move
"1,700,000Negotiable",,96 SQM,22icon/categories/area96 SQM,,icon/categories/area96,No,Apartment,Cash,Ready To Move
"360,000Negotiable",,85 SQM,21icon/categories/area85 SQM,,icon/categories/area85,No,Apartment,Cash,Ready To Move
"1,550,000",Cairo,Madinaty,2,1,106,No,Apartment,Cash,Ready To Move
"520,000Negotiable",,100 SQM,21icon/categories/area100 SQM,,icon/categories/area100,No,Apartment,Cash,Ready To Move
"360,000Negotiable",,63 SQM,21icon/categories/area63 SQM,,icon/categories/area63,No,Apartment,Cash,Ready To Move
"770,000Negotiable",,110 SQM,31icon/categories/area110 SQM,,icon/categories/area110,No,Apartment,Cash,Ready To Move
"1,250,000",Cairo,Madinaty,2,1,82,No,Apartment,Cash,Ready To Move
"500,000",Cairo,Nasr City,2,1,86,No,Apartment,Cash,Ready To Move
"120,000Negotiable",,60 SQM,11icon/categories/area60 SQM,,icon/categories/area60,No,Apartment,Cash,Ready To Move
"13,000,000Negotiable",,120 SQM,32icon/categories/area120 SQM,,icon/categories/area120,No,Apartment,Cash,Ready To Move
"550,000Negotiable",,70 SQM,21icon/categories/area70 SQM,,icon/categories/area70,No,Apartment,Cash,Ready To Move
"1,100,000",Cairo,Mokattam,2,1,140,No,Apartment,Cash,Ready To Move
"2,250,000",Cairo,Madinaty,3,2,135,No,Apartment,Cash,Ready To Move
"450,000Negotiable",,106 SQM,21icon/categories/area106 SQM,,icon/categories/area106,No,Apartment,Cash,Ready To Move
"2,150,000",Cairo,Downtown Cairo,3,2,180,No,Apartment,Cash,Ready To Move
"270,000Negotiable",,100 SQM,31icon/categories/area100 SQM,,icon/categories/area100,No,Apartment,Cash,Ready To Move
"2,200,000",Cairo,Madinaty,3,2,116,No,Apartment,Cash,Ready To Move
"1,800,000",Giza,Sheikh Zayed,3,2,220,No,Apartment,Cash,Ready To Move
"2,300,000Negotiable",,143 SQM,31icon/categories/area143 SQM,,icon/categories/area143,No,Apartment,Cash,Ready To Move
"1,600,000",Cairo,New Cairo - El Tagamoa,2,1,128,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,Madinaty,2,1,131,No,Apartment,Cash,Ready To Move
"2,250,000Negotiable",,127 SQM,32icon/categories/area127 SQM,,icon/categories/area127,No,Apartment,Cash,Ready To Move
"1,400,000",Cairo,Madinaty,2,2,89,No,Apartment,Cash,Ready To Move
"1,300,000",Cairo,Madinaty,2,2,89,No,Apartment,Cash,Ready To Move
"1,300,000",Cairo,Madinaty,2,2,89,No,Apartment,Cash,Ready To Move
"4,500,000",Cairo,Rehab City,3,3,197,No,Apartment,Cash,Ready To Move
"2,650,000Negotiable",,139 SQM,33icon/categories/area139 SQM,,icon/categories/area139,No,Apartment,Cash,Ready To Move
"650,000Negotiable",,135 SQM,31icon/categories/area135 SQM,,icon/categories/area135,No,Apartment,Cash,Ready To Move
"1,650,000",Cairo,Madinaty,2,1,107,No,Apartment,Cash,Ready To Move
"1,250,000",Cairo,Madinaty,2,1,65,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,Madinaty,3,3,168,No,Apartment,Cash,Ready To Move
"250,000",Alexandria,Montazah,1,1,70,No,Apartment,Cash,Ready To Move
"1,450,000",Alexandria,Seyouf,3,1,141,No,Apartment,Cash,Ready To Move
"3,900,000",Cairo,Madinaty,3,3,203,No,Apartment,Cash,Ready To Move
"380,000",Cairo,Helwan,3,1,115,No,Apartment,Cash,Ready To Move
"3,750,000",Cairo,Madinaty,3,2,148,No,Apartment,Cash,Ready To Move
"1,800,000",Giza,Sheikh Zayed,3,2,330,No,Apartment,Cash,Ready To Move
"1,250,000",Cairo,Obour City,2,2,130,No,Apartment,Cash,Ready To Move
"2,700,000",Cairo,Madinaty,3,3,168,No,Apartment,Cash,Ready To Move
"1,800,000",Cairo,Nasr City,3,2,200,No,Apartment,Cash,Ready To Move
"2,700,000",Cairo,Madinaty,3,3,168,No,Apartment,Cash,Ready To Move
"1,700,000",Cairo,Madinaty,3,2,103,No,Apartment,Cash,Ready To Move
"1,650,000",Cairo,Madinaty,3,2,116,No,Apartment,Cash,Ready To Move
"265,000Negotiable",,100 SQM,21icon/categories/area100 SQM,,icon/categories/area100,No,Apartment,Cash,Ready To Move
"2,800,000",Cairo,Madinaty,3,2,168,No,Apartment,Cash,Ready To Move
"1,650,000Negotiable",,130 SQM,21icon/categories/area130 SQM,,icon/categories/area130,No,Apartment,Cash,Ready To Move
"2,000,000",Alexandria,Sidi Beshr,3,3,130,No,Apartment,Cash,Ready To Move
"1,300,000",Giza,Sheikh Zayed,2,1,115,No,Apartment,Cash,Ready To Move
"2,100,000Negotiable",,195 SQM,32icon/categories/area195 SQM,,icon/categories/area195,No,Apartment,Cash,Ready To Move
"1,250,000",Cairo,Madinaty,2,1,70,No,Apartment,Cash,Ready To Move
"1,500,000Negotiable",,109 SQM,32icon/categories/area109 SQM,,icon/categories/area109,No,Apartment,Cash,Ready To Move
"2,600,000Negotiable",,270 SQM,33icon/categories/area270 SQM,,icon/categories/area270,No,Apartment,Cash,Ready To Move
"275,000Negotiable",,110 SQM,21icon/categories/area110 SQM,,icon/categories/area110,No,Apartment,Cash,Ready To Move
"2,100,000",Cairo,Madinaty,3,2,135,No,Apartment,Cash,Ready To Move
"170,000",Alexandria,Agami,2,1,80,No,Apartment,Cash,Ready To Move
"2,000,000Negotiable",,110 SQM,21icon/categories/area110 SQM,,icon/categories/area110,No,Apartment,Cash,Ready To Move
"1,200,000Negotiable",,135 SQM,31icon/categories/area135 SQM,,icon/categories/area135,No,Apartment,Cash,Ready To Move
"350,000Negotiable",,100 SQM,21icon/categories/area100 SQM,,icon/categories/area100,No,Apartment,Cash,Ready To Move
"1,750,000",Alexandria,San Stefano,3,1,140,No,Apartment,Cash,Ready To Move
"1,900,000",Cairo,Madinaty,2,2,96,No,Apartment,Cash,Ready To Move
"1,550,000",Cairo,Madinaty,2,1,107,No,Apartment,Cash,Ready To Move
"1,050,000",Cairo,Helmeyat El Zaytoun,3,1,140,No,Apartment,Cash,Ready To Move
"335,000Negotiable",,110 SQM,21icon/categories/area110 SQM,,icon/categories/area110,No,Apartment,Cash,Ready To Move
"1,800,000",Giza,Sheikh Zayed,3,2,200,No,Apartment,Cash,Ready To Move
"1,700,000Negotiable",,270 SQM,32icon/categories/area270 SQM,,icon/categories/area270,No,Apartment,Cash,Ready To Move
"550,000",Ismailia,Ismailia City,2,1,77,No,Apartment,Cash,Ready To Move
"50,000",Giza,Hadayek al-Ahram,3,2,180,No,Apartment,Cash,Ready To Move
"5,500,000",Cairo,New Cairo - El Tagamoa,3,3,255,No,Apartment,Cash,Ready To Move
"430,000",Giza,Hadayek al-Ahram,3,2,110,No,Apartment,Cash,Ready To Move
"1,800,000",Cairo,Madinaty,2,2,96,No,Apartment,Cash,Ready To Move
"1,500,000",Cairo,Madinaty,3,2,109,No,Apartment,Cash,Ready To Move
"5,100,000",Cairo,New Cairo - El Tagamoa,3,3,170,No,Apartment,Cash,Ready To Move
"1,600,000",Cairo,Rehab City,2,2,110,No,Apartment,Cash,Ready To Move
"700,000",Cairo,Shorouk City,3,1,139,No,Apartment,Cash,Ready To Move
"2,850,000",Giza,Sheikh Zayed,3,2,145,No,Apartment,Cash,Ready To Move
"2,250,000",Cairo,Madinaty,3,2,116,No,Apartment,Cash,Ready To Move
"1,800,000",Cairo,Madinaty,2,2,96,No,Apartment,Cash,Ready To Move
"650,000",Alexandria,Sidi Beshr,2,1,90,No,Apartment,Cash,Ready To Move
"1,450,000",Cairo,Madinaty,2,1,78,No,Apartment,Cash,Ready To Move
"3,200,000",Cairo,New Cairo - El Tagamoa,2,2,134,No,Apartment,Cash,Ready To Move
"1,500,000",Cairo,Rehab City,3,2,109,No,Apartment,Cash,Ready To Move
"1,450,000",Cairo,Nasr City,3,3,170,No,Apartment,Cash,Ready To Move
"1,480,000",Giza,West Somid,3,3,150,No,Apartment,Cash,Ready To Move
"2,700,000",Cairo,Madinaty,3,3,168,No,Apartment,Cash,Ready To Move
"1,550,000",Cairo,Madinaty,2,1,107,No,Apartment,Cash,Ready To Move
"260,000Negotiable",,65 SQM,21icon/categories/area65 SQM,,icon/categories/area65,No,Apartment,Cash,Ready To Move
"625,000Negotiable",,130 SQM,21icon/categories/area130 SQM,,icon/categories/area130,No,Apartment,Cash,Ready To Move
"925,000",Alexandria,Miami,2,2,125,No,Apartment,Cash,Ready To Move
"800,000",Giza,Sheikh Zayed,2,1,140,No,Apartment,Cash,Ready To Move
"1,800,000",Alexandria,Sporting,3,1,125,No,Apartment,Cash,Ready To Move
"1,050,000Negotiable",,185 SQM,32icon/categories/area185 SQM,,icon/categories/area185,No,Apartment,Cash,Ready To Move
"1,750,000",Cairo,Madinaty,2,1,92,No,Apartment,Cash,Ready To Move
"1,500,000Negotiable",,165 SQM,32icon/categories/area165 SQM,,icon/categories/area165,No,Apartment,Cash,Ready To Move
"880,000",Cairo,Shorouk City,3,2,145,No,Apartment,Cash,Ready To Move
"2,200,000",Giza,Sheikh Zayed,3,2,122,No,Apartment,Cash,Ready To Move
"1,650,000",Cairo,Madinaty,2,2,96,No,Apartment,Cash,Ready To Move
"1,900,000",Cairo,Nasr City,3,3,180,No,Apartment,Cash,Ready To Move
"1,300,000Negotiable",,210 SQM,33icon/categories/area210 SQM,,icon/categories/area210,No,Apartment,Cash,Ready To Move
"3,500,000Negotiable",,171 SQM,33icon/categories/area171 SQM,,icon/categories/area171,No,Apartment,Cash,Ready To Move
"550,000Negotiable",,90 SQM,31icon/categories/area90 SQM,,icon/categories/area90,No,Apartment,Cash,Ready To Move
"345,000Negotiable",,130 SQM,21icon/categories/area130 SQM,,icon/categories/area130,No,Apartment,Cash,Ready To Move
"680,000",Cairo,Obour City,2,1,200,No,Apartment,Cash,Ready To Move
"3,500,000Negotiable",,211 SQM,33icon/categories/area211 SQM,,icon/categories/area211,No,Apartment,Cash,Ready To Move
"760,000Negotiable",,150 SQM,32icon/categories/area150 SQM,,icon/categories/area150,No,Apartment,Cash,Ready To Move
"3,100,000",Cairo,New Cairo - El Tagamoa,3,3,235,No,Apartment,Cash,Ready To Move
"1,700,000",Cairo,Rehab City,2,1,90,No,Apartment,Cash,Ready To Move
"3,250,000",Cairo,Rehab City,3,3,182,No,Apartment,Cash,Ready To Move
"880,000Negotiable",,145 SQM,32icon/categories/area145 SQM,,icon/categories/area145,No,Apartment,Cash,Ready To Move
"750,000Negotiable",,131 SQM,31icon/categories/area131 SQM,,icon/categories/area131,No,Apartment,Cash,Ready To Move
"1,300,000",Cairo,Madinaty,2,1,82,No,Apartment,Cash,Ready To Move
"2,800,000Negotiable",,162 SQM,33icon/categories/area162 SQM,,icon/categories/area162,No,Apartment,Cash,Ready To Move
"3,050,000",Cairo,Madinaty,3,2,151,No,Apartment,Cash,Ready To Move
"240,000Negotiable",,90 SQM,21icon/categories/area90 SQM,,icon/categories/area90,No,Apartment,Cash,Ready To Move
"1,300,000Negotiable",,175 SQM,32icon/categories/area175 SQM,,icon/categories/area175,No,Apartment,Cash,Ready To Move
"2,500,000Negotiable",,131 SQM,33icon/categories/area131 SQM,,icon/categories/area131,No,Apartment,Cash,Ready To Move
"1,650,000",Cairo,Madinaty,2,2,96,No,Apartment,Cash,Ready To Move
"850,000Negotiable",,140 SQM,31icon/categories/area140 SQM,,icon/categories/area140,No,Apartment,Cash,Ready To Move
"2,700,000Negotiable",,165 SQM,33icon/categories/area165 SQM,,icon/categories/area165,No,Apartment,Cash,Ready To Move
"3,600,000Negotiable",,211 SQM,33icon/categories/area211 SQM,,icon/categories/area211,No,Apartment,Cash,Ready To Move
"430,000Negotiable",,75 SQM,21icon/categories/area75 SQM,,icon/categories/area75,No,Apartment,Cash,Ready To Move
"1,475,000",Cairo,Madinaty,3,1,96,No,Apartment,Cash,Ready To Move
"1,700,000",Alexandria,Smoha,3,2,122,No,Apartment,Cash,Ready To Move
"2,700,000Negotiable",,165 SQM,33icon/categories/area165 SQM,,icon/categories/area165,No,Apartment,Cash,Ready To Move
"4,550,000",Cairo,Madinaty,3,4,270,No,Apartment,Cash,Ready To Move
"15,000,000Negotiable",,405 SQM,44icon/categories/area405 SQM,,icon/categories/area405,No,Apartment,Cash,Ready To Move
"2,250,000",Cairo,New Cairo - El Tagamoa,3,2,195,No,Apartment,Cash,Ready To Move
